customer_id,email,name,signup_date,country,gender,age
1,figueroajohn@doyle.net,Javier Johnson,2023-09-29,VN,Male,65
2,hoffmanjennifer@gardner.com,Caitlin Henderson,2023-12-30,SG,Male,32
3,susanrogers@james.com,Renee Blair,2025-02-04,US,Other,24
4,smiller@montgomery.com,Darren Roberts,2023-02-25,TH,Male,55
5,jamesshawn@martin-kelly.com,Melinda Jones,2025-07-07,MY,Male,19
6,frankgray@watts.com,Andrew Stewart,2023-12-14,VN,Male,32
7,robinbradley@edwards.info,Charles Mcgee,2025-02-08,TH,Other,19
8,zhurst@yahoo.com,Zachary Hicks,2023-03-15,TH,Male,63
9,hernandezernest@henderson.info,Tricia Valencia,2022-11-11,TH,Female,32
10,kayla51@graham-chavez.com,Pamela Romero,2023-04-08,MY,Other,35
11,ericfarmer@hotmail.com,Tammy Sellers,2025-05-12,VN,Male,62
12,xsmith@yahoo.com,David Bradley,2023-02-24,MY,Female,35
13,wcabrera@cannon.net,Joseph Obrien,2023-09-19,US,Male,66
14,raymond57@hayes.com,Crystal Robinson,2023-02-12,SG,Male,23
15,carlosjohnson@jones-young.info,Carlos Walls,2025-03-30,MY,Male,40
16,kristenaguirre@gmail.com,Matthew Gomez,2024-07-24,SG,Other,34
17,nuneztracey@gmail.com,Nicholas Mcbride,2023-04-12,VN,Other,47
18,jameswest@white-ford.com,Scott Pierce,2023-01-11,TH,Male,42
19,housemelinda@russell.com,Stephanie Martin,2022-10-28,VN,Other,36
20,sara74@yahoo.com,Monica Logan,2025-08-18,TH,Female,54
21,jamesrobinson@gmail.com,Kimberly Adkins,2023-01-21,US,Other,22
22,hshaw@brown.com,Andrea Jones,2023-10-25,VN,Other,32
23,davidashley@hotmail.com,Lisa Barnes,2025-04-18,SG,Male,32
24,james53@yahoo.com,Michael Evans,2024-02-28,VN,Female,35
25,ellisyolanda@jones.net,Timothy Ibarra,2023-11-08,MY,Other,41
26,eric84@hotmail.com,Dr. Kendra Contreras,2025-03-04,US,Female,40
27,mcmillandennis@gmail.com,Natalie Moore,2024-01-05,US,Other,35
28,james48@king-odonnell.com,Jeff Hill,2022-10-30,VN,Other,58
29,danagreen@hotmail.com,Michael Hoffman,2023-04-16,US,Other,64
30,amydavenport@tran.com,Rebecca Valencia,2024-05-02,US,Male,47
31,elizabethgomez@henson.com,Cynthia Martin,2023-07-27,MY,Female,58
32,whitesandra@yahoo.com,Sharon Cochran,2023-12-13,TH,Male,61
33,reyesbenjamin@walker-velasquez.info,Robert Savage,2023-10-06,SG,Male,32
34,raymondramirez@rasmussen.com,Jennifer Zavala,2025-02-03,VN,Female,43
35,wilsontara@gmail.com,Victoria Johnson,2025-05-08,SG,Male,31
36,jessica56@hotmail.com,Mrs. Stephanie Lee,2023-01-01,TH,Other,38
37,meyerlindsay@hotmail.com,Natalie Lambert,2024-05-12,US,Other,49
38,rushsamantha@hotmail.com,Ryan Cortez,2024-02-03,MY,Other,47
39,snguyen@yahoo.com,Cheryl Ortega,2024-06-04,US,Female,26
40,richard04@clark-floyd.org,Julie Ramos,2023-09-21,US,Other,53
41,donnacampbell@hotmail.com,Frances Cardenas,2023-10-24,TH,Female,65
42,lindsayhernandez@gmail.com,John Atkinson,2023-02-15,TH,Female,55
43,kmercado@gmail.com,Janet Ross,2023-06-11,MY,Female,32
44,osbornejeffery@holmes.com,Robert Contreras,2025-03-11,US,Other,49
45,usalazar@hotmail.com,Terry Griffin,2023-06-29,VN,Male,25
46,pgreen@hotmail.com,Richard Washington,2023-10-31,US,Other,28
47,sjones@gmail.com,Francisco Fernandez,2023-05-27,MY,Other,22
48,patrickhernandez@brown.com,Jennifer Clark,2024-08-07,MY,Female,56
49,gateskathy@yahoo.com,Tommy Evans,2024-06-21,MY,Other,34
50,tracynelson@yahoo.com,George Shelton,2024-07-14,TH,Male,61
51,ncalhoun@johnson.com,Jeffrey Camacho,2023-08-03,VN,Other,52
52,nicholas37@rogers-hobbs.com,Sandra King,2023-03-01,SG,Other,39
53,currybrett@yahoo.com,Barry Bernard,2022-12-26,VN,Female,45
54,jamessmith@allen.com,Claudia Lyons,2024-05-20,US,Female,18
55,stricklandfrank@rodriguez-johnson.com,Susan Brooks,2023-08-29,SG,Other,66
56,curtisbarton@burke.com,Jeffrey Wood,2024-12-18,US,Other,24
57,atkinsonlynn@gmail.com,Jack Snow,2024-10-08,SG,Other,50
58,hthompson@nelson.info,Roger Vargas,2024-03-08,TH,Male,27
59,ramirezshannon@hudson-barnett.com,Samuel White,2023-09-19,SG,Male,52
60,matthew94@hotmail.com,Travis Miller,2024-07-17,TH,Male,56
61,hannahbrewer@yahoo.com,Alan Phillips,2024-07-14,SG,Female,19
62,elizabeth57@schmidt.com,Jesse Parker,2023-10-18,VN,Female,69
63,leslienewton@lopez.org,Kelly Campbell,2023-03-30,SG,Male,21
64,jeremy24@erickson.com,Anthony Carter,2023-05-09,US,Other,23
65,salasaudrey@yahoo.com,Glen Sheppard,2023-11-21,VN,Other,49
66,shortrichard@gmail.com,Melissa Hernandez,2025-03-17,VN,Other,67
67,mcknightdavid@yahoo.com,Rachel Perez,2025-01-13,US,Male,60
68,tkerr@hotmail.com,Elizabeth Oliver DDS,2023-03-28,MY,Other,28
69,josephmiller@thompson.com,Jerry Wheeler,2024-01-20,SG,Other,56
70,keithcampbell@jones-hall.com,Lori Guerrero,2023-08-28,MY,Male,52
71,stephensdeborah@yahoo.com,Andrea Martin,2024-02-14,US,Other,37
72,smartinez@yahoo.com,Terri Mason,2024-11-30,MY,Other,59
73,georgepamela@hotmail.com,David Davis,2025-09-06,SG,Female,51
74,barbara27@pearson.org,Robert Costa,2024-10-24,MY,Male,33
75,qcook@gmail.com,Erin Steele,2024-01-15,US,Male,39
